Instance Type,Market,vCPU,RAM (GiB),Storage,Price ($/h),Price ($/m),Price ($/y),Unit,Terms
g4dn.2xlarge,ondemand,8,32.0,225 GB NVMe SSD,0.752,541.44,6497.280000000001,hrs,"OnDemand, Reserved"
inf2.xlarge,ondemand,4,16.0,EBS only,0.7582,545.904,6550.848,hrs,"OnDemand, Reserved"
m6in.xlarge,ondemand,4,16.0,EBS only,0.75846,546.0912000000001,6553.094400000001,hrs,"OnDemand, Reserved"
m6i.4xlarge,ondemand,16,64.0,EBS only,0.768,552.96,6635.52,hrs,"OnDemand, Reserved"
r5d.xlarge,ondemand,4,32.0,1 x 150 NVMe SSD,0.768,552.96,6635.52,hrs,"OnDemand, Reserved"
c5d.4xlarge,ondemand,16,32.0,1 x 400 NVMe SSD,0.768,552.96,6635.52,hrs,"OnDemand, Reserved"
m6idn.2xlarge,ondemand,8,32.0,1 x 474 SSD,0.77168,555.6096,6667.3152,hrs,"OnDemand, Reserved"
r6idn.2xlarge,ondemand,8,64.0,1 x 474 SSD,0.78156,562.7232,6752.678400000001,hrs,"OnDemand, Reserved"
r7a.xlarge,ondemand,4,32.0,EBS only,0.7843,564.696,6776.352000000001,hrs,"OnDemand, Reserved"
i3.xlarge,ondemand,4,30.5,1 x 950 NVMe SSD,0.792,570.24,6842.88,hrs,"OnDemand, Reserved"
m5zn.2xlarge,ondemand,8,32.0,EBS only,0.7959,573.048,6876.576,hrs,"OnDemand, Reserved"
m4.4xlarge,ondemand,16,64.0,EBS only,0.8,576.0,6912.0,hrs,"OnDemand, Reserved"
r6g.4xlarge,ondemand,16,128.0,EBS only,0.8064,580.608,6967.295999999999,hrs,"OnDemand, Reserved"
i4i.2xlarge,ondemand,8,64.0,1 x 1875 NVMe SSD,0.822,591.8399999999999,7102.079999999999,hrs,"OnDemand, Reserved"
m5ad.4xlarge,ondemand,16,64.0,2 x 300 NVMe SSD,0.824,593.28,7119.36,hrs,"OnDemand, Reserved"
r6in.2xlarge,ondemand,8,64.0,EBS only,0.83252,599.4144,7192.9728,hrs,"OnDemand, Reserved"
m7gd.4xlarge,ondemand,16,64.0,1 x 950 NVMe SSD,0.8543,615.096,7381.152,hrs,"OnDemand, Reserved"
r7g.4xlarge,ondemand,16,128.0,EBS only,0.8568,616.896,7402.7519999999995,hrs,"OnDemand, Reserved"
g4ad.4xlarge,ondemand,16,64.0,600 GB NVMe SSD,0.867,624.24,7490.88,hrs,"OnDemand, Reserved"
p2.xlarge,ondemand,4,61.0,EBS only,0.9,648.0,7776.0,hrs,"OnDemand, Reserved"
x1e.xlarge,ondemand,4,122.0,1 x 120 SSD,0.902,649.44,7793.280000000001,hrs,"OnDemand, Reserved"
i2.xlarge,ondemand,4,30.5,1 x 800 SSD,0.921,663.12,7957.4400000000005,hrs,"OnDemand, Reserved"
r6gd.4xlarge,ondemand,16,128.0,1 x 950 NVMe SSD,0.9216,663.552,7962.624,hrs,"OnDemand, Reserved"
m7a.4xlarge,ondemand,16,64.0,EBS only,0.92736,667.6992,8012.3904,hrs,"OnDemand, Reserved"
m5a.4xlarge,ondemand,16,64.0,EBS only,0.958,689.76,8277.119999999999,hrs,"OnDemand, Reserved"
c7gn.4xlarge,ondemand,16,32.0,EBS only,0.9984,718.848,8626.176,hrs,"OnDemand, Reserved"
g5.xlarge,ondemand,4,16.0,1 x 250 GB NVMe SSD,1.006,724.32,8691.84,hrs,"OnDemand, Reserved"
r6i.4xlarge,ondemand,16,128.0,EBS only,1.008,725.76,8709.119999999999,hrs,"OnDemand, Reserved"
r5ad.4xlarge,ondemand,16,128.0,2 x 300 NVMe SSD,1.048,754.5600000000001,9054.720000000001,hrs,"OnDemand, Reserved"
r7i.4xlarge,ondemand,16,128.0,EBS only,1.0584,762.048,9144.576000000001,hrs,"OnDemand, Reserved"
c4.4xlarge,ondemand,16,30.0,EBS only,1.07,770.4000000000001,9244.800000000001,hrs,"OnDemand, Reserved"
c6g.8xlarge,ondemand,32,64.0,EBS only,1.088,783.36,9400.32,hrs,"OnDemand, Reserved"
